Adresse_civique,Arrondissement,Identifiant Standard Montréal-Divulgation-ID bâtiment,Annee_consommation,Superficie,Emissions_GES (tCO₂e),Annee_construction,Electricite (GJ),Gaz_naturel,Mazout ,Eau_refroidie (GJ),Vapeur 
5115 Rue Rivard,Plateau Mont-Royal,650100560,2023,"2269,00","71,83",1967,"350,1",1412,,,
5160 Boul. LaSalle,Verdun,650100036,2023,"3067,00","13,53",1972,"3541,9","254,4",,,
523 Pl. Saint-Henri,Sud-Ouest,650100509,2023,"3210,00","82,33",1930,"1109,4",1616,,,
525 Rue Dominion,Sud-Ouest,650100510,2023,"3181,00","87,93",1925,"284,7",1729,,,
5290 Ch. Côte-des-Neiges,CDN - NDG,650100893,2023,"3477,00","0,42",1982,"2445,5",,,,
5311 Ch. Côte-Saint-Antoine,CDN - NDG,650100894,2023,"5174,01","237,83",1931,"1121,2","4675,2",,,
5319 Av. Notre-Dame-de-Grâce,CDN - NDG,650100895,2023,"2819,00","85,44",1955,"287,4",1680,,,
5350 Rue Lafond,Rosemont - Petite-Patrie,650100730,2023,"4528,00","79,94",1965,"2052,5","1565,8",,,
5354 Av. Gatineau,CDN - NDG,650100896,2023,"2912,00","57,62",1994,"2100,4","1126,5",,,
5375 Av. 1re,Rosemont - Petite-Patrie,650100731,2023,"3760,00","70,73",1965,"1047,5",1388,,,
5434 Av. Parc,Plateau Mont-Royal,650100561,2023,"2299,00","0,23",1992,"1336,6",,,,
5485 Ch. Côte-Saint-Paul,Sud-Ouest,650100511,2023,"20608,02","378,26",1954,14169,"7394,2",,,
5550 Rue Angers,Sud-Ouest,650100512,2023,"2766,00","49,25",1959,"829,6","966,2",,,
55 Av. Dupras,LaSalle,650100189,2023,"7977,01","412,57",1940,"5873,2",8097,,,
5633 Rue Saint-Dominique,Plateau Mont-Royal,650100562,2023,"3638,00","76,85",1981,"1247,8","1507,8",,,
5670 Rue Chauveau,Mercier - Hochelaga-Maisonneuve,650100600,2023,"3872,00","53,50",1959,"1428,1","1047,8",,,
5 Av. Laurier O,Plateau Mont-Royal,650100559,2023,"2192,00","90,92",1905,"605,3","1786,7",,,
6000 Rue Notre-Dame O,Sud-Ouest,650100513,2023,"5415,01","158,55",1969,"2547,2","3110,7",,,
600 Av. Gare-de-Triage,Outremont,650100003,2023,"3374,00","85,99",2018,"1632,5","1686,2",,,
6025 Boul. Métropolitain E,Saint-Léonard,650100051,2023,"5275,01","19,37",1962,"3222,9","370,3",,,
6040 Boul. Monk,Sud-Ouest,650100514,2023,"3226,00","86,56",1960,"1411,3","1698,2",,,
6400 Av. Monkland,CDN - NDG,650100897,2023,"5881,01","0,54",2015,"3182,9",,,,
6445 Av. de Monkland,CDN - NDG,650100885,2023,"5147,00","222,27",2011,"4468,8","4357,8",,,
6700 Rue Notre-Dame E,Mercier - Hochelaga-Maisonneuve,650100617,2023,"4600,00","209,92",1961,"2273,3","4122,3",,,
6750 Rue Marseille,Mercier - Hochelaga-Maisonneuve,650100618,2023,"3374,00","91,73",1970,"3973,4","1791,3",,,
6767 Ch. Côte-des-Neiges,CDN - NDG,650100898,2023,"7299,01","0,82",1976,"4815,9",,,,
6960 Rue Darlington,CDN - NDG,650100899,2023,"2100,00","90,33",1997,"1516,7",1772,,,
7047 Rue Saint-Dominique,Rosemont - Petite-Patrie,650100733,2023,"2762,00","115,54",1931,"246,4","2272,3",,,
7171 Rue Bombardier,Anjou,650100012,2023,"5995,01","259,58",1977,"2680,9","5097,9",,,
7277 Rue Cordner,LaSalle,650100194,2023,"11378,01","390,48",1991,"4912,5","7665,6",,,
7355 Av. Christophe-Colomb,Villeray - Saint-Michel - Parc-Extension,650100770,2023,"17021,02","475,91",1980,"5163,4","9345,5",,,
7501 Av. Rondeau,Anjou,650100013,2023,"4200,00","0,53",1976,"3128,3",,,,
75 Rue Ontario,Ville-Marie,650100234,2023,"5028,00","136,96",1963,"1008,4","2691,1",,,
75 Rue Square-Sir-George-Étienne-Cartier,Sud-Ouest,650100515,2023,"5591,01","105,01",1958,"675,3","2063,7",,,
7601 Rue François-Perrault,Villeray - Saint-Michel - Parc-Extension,650100772,2023,"2437,00","0,35",1968,"2064,4",,,,
7644 Rue Édouard,LaSalle,650100195,2023,"2469,00","22,84",1922,1880,"443,1",,,
7650 Boul. Maurice-Duplessis,RDP - PAT,650100863,2023,"2070,00","59,96",2004,"2489,7","1171,3",,,
7655 Rue Colbert,Saint-Léonard,650100052,2023,"857,00","458,23",1985,"1014,6","9011,6",,,
7675 Rue Colbert,Saint-Léonard,650100053,2023,"8755,01","0,19",2010,"1137,8",,,,
7700 Boul. Langelier,Saint-Léonard,650100054,2023,"5635,01","183,30",1999,"4417,6","3591,4",,,
7701 Boul. Louis-H.-La Fontaire,Anjou,650100014,2023,"3812,00","119,38",1966,"2983,3","2338,7",,,
7755 Rue Colbert,Saint-Léonard,650100055,2023,"2776,00","154,84",1974,"17139,5",2989,,,
777 Boul. Marcel-Laurin,Saint-Laurent,650100084,2023,"6495,01","1,25",1956,"7325,4",,,,
