buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,location_fingerprint
828,STATION DE POMPAGE STE-MARGUERITE (VIAD),"545 Rue  Sainte-Marguerite , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (aqueduc),SUD-OUEST,1939.0,29.3,14.65,19.6,1.0,1.0,0.0,,0.5,0.5,B:SUD-OUEST|S:RUE  SAINTE-MARGUERI
834,EX.STATION DE NIVOMÉTRIE LAURENTIEN,"6100 Rue  De Pontgravé , Montréal",PROPRIÉTAIRE,Installation externe,Industriel,Entrepôt non-chauffé,AHUNTSIC / CARTIERVILLE,,5.0,5.0,4.2,1.0,0.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE
835,JEU D'EAU DU PARC NOTRE-DAME-DE-GRÂCE,"Avenue  Marcil , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,COTE-DES-NEIGES / N-D-DE-GRACE,,221.0,0.0,221.0,,,,,0.5,0.5,B:COTE-DES-NEIGES / N-D-DE-GRACE
836,STATION DE POMPAGE DES ÉRABLES,"266 Avenue des Érables (IBZ) , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),L'ÎLE-BIZARD / STE-GENEVIÈVE,,1.46,1.46,1.46,0.0,0.0,,,0.5,0.5,B:L'ÎLE-BIZARD / STE-GENEVIÈVE
838,NOUVEAU COMPLEXE SERRES LOUIS-DUPIRE,"5655 Boulevard  Pie-IX , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Serre de service et production,ROSEMONT / PETITE-PATRIE,1982.0,3743.68,3743.68,3743.5,1.0,0.0,0.0,,0.5,0.5,B:ROSEMONT-PETITE-PATRIE|S:BOULEVARD  PIE-IX
841,CASERNE NO.2 ESTIVALE ILE STE-HELEN,"11 Chemin du Tour-de-l'Isle , Montréal",PROPRIÉTAIRE,Bâtiment,Protection et sécurité,Caserne de pompiers,VILLE-MARIE,1967.0,255.44,128.9,221.12,1.0,1.0,0.0,,0.5,0.5,B:VILLE-MARIE|S:CHEMIN DU TOUR-DE-L'
843,TOUR DE VENTILATION WELLINGTON,"Rue  Wellington , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),SUD-OUEST,1933.0,75.5,75.5,75.5,1.0,0.0,0.0,,0.5,0.5,B:SUD-OUEST
844,GUÉRITE CHUTE À NEIGE SAUVÉ,"Rue  Sauvé O, Montréal",PROPRIÉTAIRE,Installation externe,Industriel,Guérite,AHUNTSIC / CARTIERVILLE,,11.92,11.92,10.4,1.0,0.0,0.0,,0.5,0.5,B:AHUNTSIC-CARTIERVILLE
847,STATION DE POMPAGE SAINT-FRANÇOIS,"Route  Transcanadienne (SLR) , Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Station de pompage (égouts),SAINT-LAURENT,,12.0,1.0,12.0,,,,,0.5,0.5,B:SAINT-LAURENT
848,REMISE DE JARDIN PARC SAINTE-MARIE,"2330 Rue  La Fontaine , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Abri fermé,VILLE-MARIE,,30.0,,30.0,,,,,0.5,0.5,B:VILLE-MARIE|S:RUE  LA FONTAINE
