buildingid,buildingName,address,propertyStatus,categoryDescription,buildingProfile,usageName,boroughName,buildingConstrYear,builtArea,buildingArea,buildingOccupencyArea,floorAmount,basementAmount,verticalTransportAmount,postal_prefix,postal_flood_risk,postal_heat_risk,priority_score,priority_level,score_age_risk,score_size_impact,score_energy_risk,score_climate_risk,score_social_vulnerability,score_floor_count_norm,score_has_basement,estimated_ges_reduction,building_age,age_category
4318,JEU D'EAU DU PARC DUQUETTE,"900 Rue  Dupuis , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,VERDUN,2007.0,51.28,51.28,51.28,,,,,0.5,0.5,29.50606515467568,Low,0.3,0.28638926315141777,0.2954630877171393,0.5,0.6,0.1,0,0.11363510353601178,17.0,< 20 ans
4329,JEU D'EAU DU PARC JOANNETTE,"Rue  Hickson (VRD) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,VERDUN,2007.0,51.06,51.06,51.06,,,,,0.5,0.5,29.485418786650087,Low,0.3,0.28608402729553617,0.29536134243184536,0.5,0.6,0.1,0,0.1131086260842752,17.0,< 20 ans
4349,ABRI OUVERT DU PARC JOANNETTE,"Rue  Hickson (VRD) , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,VERDUN,2005.0,16.22,16.22,16.22,,,,,0.5,0.5,24.068852523570243,Low,0.3,0.206005524519606,0.26866850817320204,0.5,0.6,0.1,0,0.03268352401927002,19.0,< 20 ans
4351,REMISE DU PARC ROBERT-SAUVÉ (STE-GEN),"15742 Rue de la Caserne , Montréal",PROPRIÉTAIRE,Bâtiment,Loisir communautaire,Abri fermé,L'ÎLE-BIZARD / STE-GENEVIÈVE,2007.0,11.9,0.0,11.9,1.0,,,,0.5,0.5,36.224479556092135,Low,0.3,0.5,0.35000000000000003,0.5,0.5,0.1,0,0.0,17.0,< 20 ans
4381,JEU D'EAU DU PARC DE PETERBOROUGH (ANJ),"Boulevard  Châteauneuf (ANJ) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Jeu d'eau,ANJOU,2005.0,475.0,0.0,475.0,,,,,0.5,0.5,38.15707108469542,Low,0.3,0.5,0.3666666666666667,0.5,0.5,0.1,0,0.0,19.0,< 20 ans
4383,ABRI OUVERT JEU EAU PARC DE PETERBOROUGH,"Boulevard  Châteauneuf (ANJ) , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,ANJOU,2001.0,21.85,0.0,21.85,,,,,0.5,0.5,38.15707108469542,Low,0.3,0.5,0.3666666666666667,0.5,0.5,0.1,0,0.0,23.0,20-40 ans
4384,ABRI OUVERT DU PARC DE PETERBOROUGH,"Boulevard  Châteauneuf (ANJ) , Montréal",PROPRIÉTAIRE,Installation externe,Loisir communautaire,Abri ouvert,ANJOU,2001.0,36.79,0.0,36.79,,,,,0.5,0.5,38.15707108469542,Low,0.3,0.5,0.3666666666666667,0.5,0.5,0.1,0,0.0,23.0,20-40 ans
4397,ENTREPÔT DU 3444 SAINT-JOSEPH,"3444 Rue  Saint-Joseph E, Montréal",PROPRIÉTAIRE,Bâtiment,Industriel,Atelier / Esp. bureau,ROSEMONT / PETITE-PATRIE,1990.0,6522.94,6522.94,6409.9,2.0,0.0,0.0,,0.5,0.5,52.7917166609526,Medium,0.6,0.6357516597042113,0.45893791492605285,0.5,0.5,0.2,0,44.9043672418162,34.0,20-40 ans
4408,ABRI BASEBALL DU PARC DES ROSERAIES,"Avenue de la Nantaise (ANJ) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Abri fermé,ANJOU,1995.0,3.53,3.53,3.53,1.0,,,,0.5,0.5,13.575455762752298,Low,0.3,0.10934970033547198,0.25233742508386797,0.5,0.5,0.1,0,0.006680633329095404,29.0,20-40 ans
4410,ABRI TENNIS DU PARC DES ROSERAIES,"Avenue de la Nantaise (ANJ) , Montréal",PROPRIÉTAIRE,Installation externe,Sportif,Abri fermé,ANJOU,1990.0,3.5,3.5,3.5,1.0,,,,0.5,0.5,22.244233358257205,Low,0.6,0.10886875229589062,0.32721718807397265,0.5,0.5,0.1,0,0.017178902373883566,34.0,20-40 ans
